Terminal log file Date: 15.02.2022 - 18:46:57
baud rate: 77000, data bits 8, parity: none, Stop bit: 1  
-----------------------------------------------
 

 |--------- const
 |  |---------- transverse slope, in a horizontal position = 00
 |  |  | --------- longitudinal tilt, horizontal
 |  |  |  | ------- 
 |  |  |  |  | ------- ?
 |  |  |  |  |       | ------ const
 |  |  |  |  |   --------
 |  |  |  |  |  |        |  | -------- optical pressure sensor 00 or O1
 |  |  |  |  |  |  |  |  |  |  | ---------- sum
 1  2  3  4  5  6  7  8  9 10 11

процесс наклона 
5A 00 97 FD 0B 11 6A 12 FF 01 F6 
5A 00 96 FD 0E 11 6A 12 FF 01 F2 
5A 00 96 FD 11 11 6A 12 FF 01 ED 
5A 00 96 FD 14 11 6A 12 FF 01 E8 
5A 00 96 FD 18 11 6A 12 FF 01 E4 
5A 00 96 FD 1B 11 6A 12 FF 01 E7 
5A 00 96 FD 1F 11 6A 12 FF 01 E3 
5A 00 96 FD 23 11 6A 12 FF 01 DF 
5A 00 95 FD 27 11 6A 12 FF 01 D8 
5A 00 95 FD 2B 11 6A 12 FF 01 D4 
5A 00 95 FD 30 11 6A 12 FF 01 CF 
5A 00 95 FD 35 11 6A 12 FF 01 CA 
5A 00 94 FD 39 11 6A 12 FF 01 C7 
5A 00 94 FD 3F 11 6A 12 FF 01 C1 
5A 00 94 FD 44 11 6A 12 FF 01 BA 
5A 00 93 FD 5D 11 6A 12 FF 01 A4 
5A 00 93 FD 64 11 6A 12 FF 01 9D 
5A 00 94 FD 6B 11 6A 12 FF 01 95 
5A 00 94 FD 73 11 6A 12 FF 01 8D 
5A 00 94 FD 7B 11 6A 12 FF 01 85 
5A 00 94 FD 83 11 6A 12 FF 01 7D 
5A 00 94 FD 8C 11 6A 12 FF 01 72 
5A 00 94 FD 95 11 6A 12 FF 01 6B 
5A 00 94 FD 9E 11 6A 12 FF 01 60 
5A 00 94 FD A8 11 6A 12 FF 01 56 
5A 00 95 FD B2 11 6A 12 FF 01 4D 
5A 00 95 FD BD 11 6A 12 FF 01 42 
5A 00 95 FD C8 11 6A 12 FF 01 37 
5A 00 95 FD D3 11 6A 12 FF 01 2C 
5A 00 96 FD DE 11 6A 12 FF 01 22 
5A 00 96 FD EA 11 6A 12 FF 01 16 
5A 00 97 FD F6 11 6A 12 FF 01 0B 
5A 00 97 FE 03 11 6A 12 FF 01 FD 
5A 00 98 FE 0F 11 6A 12 FF 01 FE 
5A 00 98 FE 1C 11 6A 12 FF 01 ED 
5A 00 99 FE 29 11 6A 12 FF 01 D9 
5A 00 99 FE 37 11 6A 12 FF 01 C7 
5A 00 9A FE 44 11 6A 12 FF 01 B7 
5A 00 9A FE 52 11 6A 12 FF 01 A1 
5A 00 9B FE 60 11 6A 12 FF 01 92 
5A 00 9B FE 6F 11 6A 12 FF 01 9D 
5A 00 9C FE 7E 11 6A 12 FF 01 8B 
5A 00 9C FE 8C 11 6A 12 FF 01 79 
5A 00 9D FE 9B 11 6A 12 FF 01 6F 
5A 00 9D FE AB 11 6A 12 FF 01 5F 
5A 00 9E FE BA 11 6A 12 FF 01 4D 
5A 00 9F FE C9 11 6A 12 FF 01 3F 
